mu,round,local_epochs,client_i,client_j,cosine_similarity
1.0,11,5,2,3,-0.3633976876735687
1.0,11,5,2,4,0.27761414647102356
1.0,11,5,3,4,-0.1513277292251587
1.0,12,5,0,1,0.13504816591739655
1.0,12,5,0,2,-0.24398767948150635
1.0,12,5,0,3,-0.16063931584358215
1.0,12,5,0,4,0.1911018043756485
1.0,12,5,1,2,0.46039706468582153
1.0,12,5,1,3,-0.33127573132514954
1.0,12,5,1,4,-0.12289292365312576
1.0,12,5,2,3,-0.3946261405944824
1.0,12,5,2,4,0.26309463381767273
1.0,12,5,3,4,-0.14148758351802826
1.0,13,5,0,1,0.1551588624715805
1.0,13,5,0,2,-0.22049197554588318
1.0,13,5,0,3,-0.2016720026731491
1.0,13,5,0,4,0.12591154873371124
1.0,13,5,1,2,0.5047329068183899
1.0,13,5,1,3,-0.35498398542404175
1.0,13,5,1,4,-0.12075338512659073
1.0,13,5,2,3,-0.40204769372940063
1.0,13,5,2,4,0.17559178173542023
1.0,13,5,3,4,-0.15399615466594696
1.0,14,5,0,1,0.15874351561069489
1.0,14,5,0,2,-0.23602478206157684
1.0,14,5,0,3,-0.1950969696044922
1.0,14,5,0,4,0.13768328726291656
1.0,14,5,1,2,0.45463451743125916
1.0,14,5,1,3,-0.3839573860168457
1.0,14,5,1,4,-0.12946145236492157
1.0,14,5,2,3,-0.44339749217033386
1.0,14,5,2,4,0.21498337388038635
1.0,14,5,3,4,-0.17517884075641632
1.0,15,5,0,1,0.11400461196899414
1.0,15,5,0,2,-0.2117331475019455
1.0,15,5,0,3,-0.20303180813789368
1.0,15,5,0,4,0.130989208817482
1.0,15,5,1,2,0.45862674713134766
1.0,15,5,1,3,-0.36514100432395935
1.0,15,5,1,4,-0.09241457283496857
1.0,15,5,2,3,-0.48020070791244507
1.0,15,5,2,4,0.3625468313694
1.0,15,5,3,4,-0.2399100661277771
1.0,16,5,0,1,0.13098247349262238
1.0,16,5,0,2,-0.2746201753616333
1.0,16,5,0,3,-0.19239459931850433
1.0,16,5,0,4,0.12920859456062317
1.0,16,5,1,2,0.45740124583244324
1.0,16,5,1,3,-0.40684130787849426
1.0,16,5,1,4,-0.1779051274061203
1.0,16,5,2,3,-0.46097108721733093
1.0,16,5,2,4,0.15870751440525055
1.0,16,5,3,4,-0.2015288919210434
1.0,17,5,0,1,0.14523519575595856
1.0,17,5,0,2,-0.2627488076686859
1.0,17,5,0,3,-0.22136925160884857
1.0,17,5,0,4,0.11379382759332657
1.0,17,5,1,2,0.39188677072525024
1.0,17,5,1,3,-0.41402947902679443
1.0,17,5,1,4,-0.16826185584068298
1.0,17,5,2,3,-0.5185847878456116
1.0,17,5,2,4,0.2704318165779114
1.0,17,5,3,4,-0.21673785150051117
1.0,18,5,0,1,0.14228759706020355
1.0,18,5,0,2,-0.2723764181137085
1.0,18,5,0,3,-0.21534301340579987
1.0,18,5,0,4,0.11353148519992828
1.0,18,5,1,2,0.42180266976356506
1.0,18,5,1,3,-0.4095272719860077
1.0,18,5,1,4,-0.14214055240154266
